Datetime,Open,High,Low,Close,Volume,EMA_20,SMA_50,RSI_14,MACD_hist,ATR_14
2023-11-13 04:00:00+00:00,1.0689470767974854,1.0698620080947876,1.0687185525894165,1.06963312625885,0,1.0686924165712144,1.0671719193458558,54.30846216648499,-0.0001457367504795142,0.002065028463091169
2023-11-13 08:00:00+00:00,1.0695186853408813,1.0703200101852417,1.0688328742980957,1.0689470767974854,0,1.0687166699260973,1.0674025058746337,51.68099032968201,-0.00010440527732895203,0.0020728962762015207
2023-11-13 12:00:00+00:00,1.0689470767974854,1.0695186853408813,1.066894292831421,1.0691757202148438,0,1.068760389001216,1.0676510739326477,52.50569799685616,-6.066268803873629e-05,0.002186621938432966
2023-11-13 16:00:00+00:00,1.0694043636322021,1.0708931684494019,1.0688328742980957,1.0704345703125,0,1.0689198348403859,1.0679671692848205,56.870425908091434,4.818172944788559e-05,0.0021294099943978445
2023-11-13 20:00:00+00:00,1.0705492496490479,1.0710078477859497,1.0699764490127563,1.0704345703125,0,1.0690640953615396,1.068296604156494,56.870425908091434,0.000111678219157796,0.0019409571375165666
2023-11-14 00:00:00+00:00,1.0705492496490479,1.0705492496490479,1.0697474479675293,1.0699764490127563,0,1.0691509861854651,1.068554482460022,54.746930746117975,0.00011393214701244336,0.0016062940870012557
2023-11-14 04:00:00+00:00,1.0699764490127563,1.0711225271224976,1.06963312625885,1.0708931684494019,0,1.06931690830584,1.06879487991333,58.11703152949154,0.00016516171844798327,0.0016231962612697057
2023-11-14 08:00:00+00:00,1.0710078477859497,1.073306918144226,1.0698620080947876,1.0721560716629028,0,1.0695873048160365,1.0690313410758971,62.284160480333256,0.00026611893860199276,0.001787909439631871
2023-11-14 12:00:00+00:00,1.0721560716629028,1.084481120109558,1.0721560716629028,1.0840108394622803,0,1.0709609747823454,1.0694981503486634,81.19651281774327,0.001068293655736093,0.00256260803767613
2023-11-14 16:00:00+00:00,1.0841283798217773,1.0884946584701538,1.0841283798217773,1.0884946584701538,0,1.0726308494192796,1.0699937105178834,84.38572430402795,0.001795095001605477,0.0026955349104745047
2023-11-14 20:00:00+00:00,1.0884946584701538,1.0889687538146973,1.0876659154891968,1.088139295578003,0,1.0741078442915388,1.0705160546302794,83.18157388799638,0.0021236369827907116,0.0025930064065115793
2023-11-15 00:00:00+00:00,1.088139295578003,1.0886130332946777,1.0868383646011353,1.0884946584701538,0,1.0754780170704545,1.071036479473114,83.43611541016665,0.0022258516571320632,0.0025568859917776926
