Datetime,Open,High,Low,Close,Volume,EMA_20,SMA_50,RSI_14,MACD_hist,ATR_14,daily_score,daily_direction,is_swing_high,is_swing_low,confirmed_at_idx,trend,anchor_low_price,anchor_low_time,anchor_high_price,anchor_high_time
2024-05-24 00:00:00,1.0814317464828491,1.0816657543182373,1.080964207649231,1.080964207649231,0,1.0837869953444037,1.0850004935264588,37.12737724016101,-0.0004372208845617,0.001770155770438,70.0,1,False,False,,,,,,
2024-05-24 04:00:00,1.080964207649231,1.0829542875289917,1.0808473825454712,1.0828369855880735,0,1.083696518224753,1.0850776052474975,45.63750898441261,-0.0003072253895126,0.0018701127597263,70.0,1,False,False,,,,,,
2024-05-24 08:00:00,1.082719802856445,1.0847163200378418,1.08236825466156,1.0845986604690552,0,1.0837824365337343,1.085189950466156,52.192802632683794,-9.173201179548144e-05,0.0019704188619341,70.0,1,False,False,,,,,,
2024-05-24 12:00:00,1.084481120109558,1.085894227027893,1.0843634605407717,1.0854227542877195,0,1.0839386572722092,1.085307128429413,54.930652625536815,0.0001064281062365,0.0019955124173845,70.0,1,False,False,,,,,,
2024-05-24 16:00:00,1.0854227542877195,1.086130142211914,1.0849517583847046,1.0851871967315674,0,1.084057565792148,1.085370535850525,53.97906929888855,0.0002154691456831,0.0018193466322762,70.0,1,False,False,,,,,,
2024-05-24 20:00:00,1.0853049755096436,1.0853049755096436,1.0849517583847046,1.0849517583847046,0,1.0841427269914392,1.0854198622703553,52.99097405097724,0.0002624524716169,0.0017355169568743,70.0,1,False,False,,,,,,
2024-05-26 20:00:00,1.0853049755096436,1.0853049755096436,1.0849517583847046,1.0849517583847046,0,1.0842197776003215,1.0854832410812378,52.99097405097724,0.000282503224395,0.0015594788960048,70.0,1,False,False,,,,,,
2024-05-27 00:00:00,1.0849517583847046,1.0854227542877195,1.0849517583847046,1.0851871967315674,0,1.0843119127556784,1.0855278992652893,53.96821267420647,0.0002990033117739,0.001551261969975,70.0,1,False,False,,,,,,
2024-05-27 04:00:00,1.0851871967315674,1.0855406522750854,1.0847163200378418,1.0854227542877195,0,1.0844177071873011,1.0855796146392822,54.976679044285085,0.0003117390676517,0.0015515003885541,70.0,1,False,False,,,,,,
2024-05-27 08:00:00,1.0854227542877195,1.08695650100708,1.0848339796066284,1.0860122442245483,0,1.0845695678575151,1.085638427734375,57.48678235895543,0.0003433244053946,0.0015608072280883,70.0,1,False,False,,,,,,
2024-05-27 12:00:00,1.086130142211914,1.0862481594085691,1.084481120109558,1.0862481594085691,0,1.0847294337195206,1.085640788078308,58.484322504474186,0.0003617217197999,0.0015190414019993,70.0,1,False,False,,,,,,
2024-05-27 16:00:00,1.0862481594085691,1.0866022109985352,1.0860122442245483,1.0862481594085691,0,1.0848740742613348,1.085593490600586,58.48432250447418,0.0003550086261792,0.0012839862278529,70.0,1,False,False,,,,,,
2024-05-27 20:00:00,1.0862481594085691,1.0864840745925903,1.085894227027893,1.0864840745925903,0,1.0850274076262163,1.0855390524864197,59.58415719294506,0.0003471551461711,0.0011421356882367,70.0,1,False,False,,,,,,
2024-05-28 00:00:00,1.0864840745925903,1.088139295578003,1.0864840745925903,1.088139295578003,0,1.0853237779073388,1.0855200910568237,66.32491543951689,0.0004287841301551,0.0011851446969168,70.0,1,False,False,,,,,,
2024-05-28 04:00:00,1.088139295578003,1.0882576704025269,1.0875475406646729,1.088020920753479,0,1.0855806486545905,1.0855248260498047,65.48375519993132,0.0004480558358659,0.0011857577732631,70.0,1,False,False,,,,,,
2024-05-28 08:00:00,1.087902545928955,1.089205980300903,1.08695650100708,1.0887316465377808,0,1.085880743691085,1.0855603289604188,68.09967566935117,0.000479123007001,0.0011959416525704,70.0,1,True,False,22.0,,,,,
2024-05-28 12:00:00,1.0886130332946775,1.0886130332946775,1.086130142211914,1.088139295578003,0,1.086095843870791,1.0855650639533996,63.76230337099069,0.0004317034230688,0.0012140444346836,70.0,1,False,False,,,,,,
2024-05-28 16:00:00,1.088139295578003,1.088139295578003,1.0857763290405271,1.0863661766052246,0,1.086121589845499,1.0855508947372436,52.9008535314195,0.0002612378790226,0.0012734872954232,70.0,1,False,False,,,,,,
2024-05-28 20:00:00,1.0863661766052246,1.0863661766052246,1.0854227542877195,1.0854227542877195,0,1.0860550340780917,1.0855178570747377,48.196575935761295,7.49394847206924e-05,0.0012567043304443,70.0,1,False,False,,,,,,
2024-05-29 00:00:00,1.0854227542877195,1.0860122442245483,1.0849517583847046,1.0850694179534912,0,1.0859611658757486,1.0854966425895691,46.52775701333699,-7.402945705560038e-05,0.0013072235243661,70.0,1,False,False,,,,,,
2024-05-29 04:00:00,1.0849517583847046,1.086130142211914,1.0847163200378418,1.0855406522750854,0,1.0859211169613998,1.0854848527908325,49.06099941336921,-0.0001390009220786,0.0013829810278756,70.0,1,False,False,,,,,,
2024-05-29 08:00:00,1.0849517583847046,1.085894227027893,1.0833063125610352,1.0853049755096436,0,1.085862436823137,1.0854966259002683,47.84030536229544,-0.0001927150873006,0.0015341894967215,70.0,1,False,False,,,,,,
2024-05-29 12:00:00,1.0856584310531616,1.086130142211914,1.08119797706604,1.0814317464828491,0,1.0854404663145385,1.0853837680816651,33.21404502108378,-0.000468258460466,0.0018276061330522,70.0,1,False,False,,0.0,,,,
2024-05-29 16:00:00,1.0813149213790894,1.0820168256759644,1.080263614654541,1.0803803205490112,0,1.0849585476702024,1.0852404236793518,30.4890054992767,-0.0006872475077926,0.0018012268202645,70.0,1,False,False,,0.0,,,,
2024-05-29 20:00:00,1.0804970264434814,1.0808473825454712,1.080263614654541,1.0803803205490112,0,1.0845225260396127,1.0851041722297667,30.4890054992767,-0.0007906437087392,0.001716707433973,70.0,1,False,False,,0.0,,,,
2024-05-30 00:00:00,1.0803803205490112,1.0807305574417114,1.0796804428100586,1.0801469087600708,0,1.0841058005844182,1.0849561595916748,29.85829578463905,-0.0008292621114071,0.001749575138092,70.0,1,False,False,,0.0,,,,
2024-05-30 04:00:00,1.0801469087600708,1.0813149213790894,1.079097867012024,1.0810810327529907,0,1.0838177274576155,1.0848149943351746,35.59997252220606,-0.0007488551424704,0.001865804195404,70.0,1,False,True,33.0,0.0,,,,
2024-05-30 08:00:00,1.08119797706604,1.0824854373931885,1.0806137323379517,1.0821340084075928,0,1.083657373262375,1.0847043561935426,41.42103919358988,-0.0005887688149576,0.0018812673432486,70.0,1,False,False,,0.0,,,,
