entry_time,direction,fib_level,entry_price,stop_price,target_price,outcome,bars_to_resolve
2024-08-02 12:00:00,Short,0.5,1.0854475498199463,1.088279400553022,1.076951997620719,loss,0
2024-09-04 12:00:00,Long,0.5,1.1040288805961609,1.1021764874458313,1.1095860600471494,win,0
2024-09-09 08:00:00,Long,0.5,1.1040288805961609,1.1018824066434587,1.1104683024542672,loss,9
2024-09-10 04:00:00,Long,0.5,1.1040288805961609,1.1021688580513,1.1096089482307432,loss,2
2025-01-20 12:00:00,Short,0.382,1.0353012206554413,1.038426224061421,1.0259262104375022,loss,0
2025-01-21 00:00:00,Short,0.382,1.0353012206554413,1.039033016375133,1.0241058334963664,loss,0
2025-01-21 08:00:00,Short,0.382,1.0353012206554413,1.0393423474516186,1.0231778402669092,loss,1
2025-05-20 16:00:00,Short,0.618,1.1291795978546142,1.1325859692437308,1.1189604836872646,loss,2
2025-05-22 08:00:00,Short,0.618,1.1291795978546142,1.1327505376679556,1.11846677841459,loss,0
2025-07-21 12:00:00,Short,0.5,1.172577083110809,1.175207844802311,1.1646847980363029,loss,6
2025-07-23 12:00:00,Short,0.5,1.172577083110809,1.1753113525254384,1.1643742748669215,loss,0
2025-07-25 08:00:00,Short,0.5,1.172577083110809,1.1752613782882688,1.16452419757843,loss,0
2025-07-28 04:00:00,Short,0.5,1.172577083110809,1.1755728636469156,1.1635897415024894,loss,0
2025-08-05 00:00:00,Short,0.5,1.1594232320785522,1.1635878256389072,1.1469294513974873,loss,9
2025-08-06 08:00:00,Short,0.5,1.1594232320785522,1.16209214925766,1.1514164805412295,loss,1
2025-08-11 12:00:00,Short,0.5,1.1594232320785522,1.1622150455202374,1.1510477917534967,loss,0
2025-08-12 08:00:00,Short,0.5,1.1594232320785522,1.161726406642369,1.1525137083871024,loss,0
2025-09-19 08:00:00,Long,0.5,1.1756576895713806,1.1722754410334997,1.1858044351850237,loss,26
2025-09-22 04:00:00,Long,0.5,1.1756576895713806,1.1729515109743391,1.183776225362505,loss,20
2025-09-24 08:00:00,Long,0.5,1.1756576895713806,1.173275283404759,1.1828049080712455,loss,1
2025-09-25 12:00:00,Long,0.5,1.1756576895713806,1.1732176201684135,1.1829778977802818,loss,0
2025-09-29 12:00:00,Long,0.5,1.1756576895713806,1.1732323936053686,1.182933577469417,loss,0
2025-10-01 08:00:00,Long,0.5,1.1756576895713806,1.1733141371182034,1.1826883469309126,loss,0
2025-10-02 00:00:00,Long,0.5,1.1756576895713806,1.1731264335768563,1.1832514575549533,loss,0
2025-11-13 04:00:00,Short,0.382,1.160684249162674,1.162620489018304,1.154875529595784,loss,1
2025-11-14 08:00:00,Short,0.382,1.160684249162674,1.1628320344175611,1.1542408933980128,loss,0
2026-01-05 04:00:00,Long,0.382,1.1685119082927704,1.1666150160176414,1.1742025851181574,loss,2
2026-02-05 08:00:00,Long,0.618,1.1779040694236758,1.1755523937089105,1.1849590965679713,win,11
2026-02-05 20:00:00,Long,0.618,1.1779040694236758,1.1756326896803722,1.1847182086535863,win,8
2026-02-18 20:00:00,Long,0.618,1.1779040694236758,1.1759237391608104,1.1838450602122716,loss,4
2026-02-19 08:00:00,Long,0.618,1.1779040694236758,1.1757471220833917,1.1843749114445277,loss,1
2026-02-20 12:00:00,Long,0.618,1.1779040694236758,1.1755213396889825,1.1850522586277554,loss,34
2026-02-23 08:00:00,Long,0.618,1.1779040694236758,1.1751845393862046,1.1860626595360895,loss,29
2026-02-23 20:00:00,Long,0.618,1.1779040694236758,1.1753221920558388,1.1856497015271867,loss,26
2026-02-25 08:00:00,Long,0.618,1.1779040694236758,1.175777784415654,1.1842829244477409,loss,17
2026-02-26 16:00:00,Long,0.618,1.1779040694236758,1.1758958271571571,1.1839287962232319,loss,9
2026-03-02 00:00:00,Long,0.618,1.1779040694236758,1.1756442444665094,1.1846835442951746,loss,1
2026-03-23 08:00:00,Short,0.5,1.1623570322990415,1.1669455851827346,1.1485913736479623,win,32
2026-05-12 12:00:00,Long,0.5,1.1729248762130735,1.1711144362177166,1.1783561961991442,loss,4
2026-05-13 04:00:00,Long,0.5,1.1729248762130735,1.1711575984954832,1.1782267093658445,loss,0
2026-05-14 04:00:00,Long,0.5,1.1729248762130735,1.171282546860831,1.1778518642698013,loss,0
2026-05-28 00:00:00,Short,0.5,1.16233229637146,1.1640630619866508,1.1571399995258878,loss,3
