divergence_confirmed_time
2024-04-09 06:00:00
2024-04-10 10:00:00
2024-04-10 19:00:00
2024-04-19 06:00:00
2024-05-03 17:00:00
2024-05-07 18:00:00
2024-05-08 19:00:00
2024-05-21 06:00:00
2024-05-29 10:00:00
2024-07-10 18:00:00
2024-08-13 05:00:00
2024-08-22 00:00:00
2024-08-27 11:00:00
2024-08-28 00:00:00
2024-09-06 17:00:00
2024-09-16 10:00:00
2024-09-19 00:00:00
2024-10-03 23:00:00
2024-10-04 20:00:00
2024-10-14 11:00:00
2024-10-17 19:00:00
2024-10-23 10:00:00
2024-11-13 18:00:00
2024-11-19 14:00:00
2024-12-02 00:00:00
2024-12-04 10:00:00
2024-12-04 20:00:00
2024-12-06 09:00:00
2024-12-10 19:00:00
2024-12-11 07:00:00
2024-12-11 20:00:00
2024-12-24 16:30:00
2024-12-26 20:00:00
2025-01-08 19:00:00
2025-01-16 14:00:00
2025-01-31 08:00:00
2025-03-04 18:00:00
2025-03-05 02:00:00
2025-03-06 20:00:00
2025-03-12 23:00:00
2025-03-13 07:00:00
2025-03-13 20:00:00
2025-03-26 17:00:00
2025-04-15 01:00:00
2025-04-15 12:00:00
2025-04-25 03:00:00
2025-05-07 03:00:00
2025-05-12 12:00:00
2025-05-22 09:00:00
2025-06-06 18:00:00
2025-06-10 00:00:00
2025-06-27 08:00:00
2025-07-04 05:00:00
2025-07-16 20:00:00
2025-07-22 18:00:00
2025-07-23 20:00:00
2025-08-05 07:00:00
2025-08-05 19:00:00
2025-08-06 20:00:00
2025-08-08 04:00:00
2025-08-08 12:00:00
2025-08-14 07:00:00
2025-08-19 17:00:00
2025-08-22 07:00:00
2025-08-27 22:00:00
2025-09-03 05:00:00
2025-09-03 19:00:00
2025-09-23 18:00:00
2025-09-24 18:00:00
2025-09-26 11:00:00
2025-10-02 18:00:00
2025-10-06 19:00:00
2025-10-09 18:00:00
2025-10-17 03:00:00
2025-10-31 03:00:00
2025-11-11 17:00:00
2025-11-12 04:00:00
2025-12-01 21:00:00
2025-12-11 06:00:00
2025-12-12 19:00:00
2025-12-18 00:00:00
2025-12-23 08:00:00
2026-01-12 23:00:00
2026-01-13 19:00:00
2026-01-15 04:00:00
2026-01-29 04:00:00
2026-01-29 19:00:00
2026-02-10 02:00:00
2026-02-19 13:00:00
2026-02-23 19:00:00
2026-02-24 02:00:00
2026-02-26 01:00:00
2026-03-06 20:00:00
2026-03-31 06:00:00
2026-04-01 23:00:00
2026-04-07 09:00:00
2026-04-08 18:00:00
2026-04-10 19:00:00
2026-05-11 07:00:00
2026-05-13 06:00:00
2026-05-13 22:00:00
2026-05-26 09:00:00
2026-05-29 20:00:00
2026-06-01 14:00:00
2026-06-15 18:00:00
2026-06-30 11:00:00
2026-07-01 19:00:00
2026-07-22 07:00:00
2026-07-22 19:00:00
2026-08-06 06:00:00
2026-08-12 14:00:00
2026-08-20 20:00:00
