signal_time,RSI_14,Close
2023-11-15 09:00:00,59.75849736096912,1.0855406522750854
2023-11-28 17:00:00,64.27177947686822,1.0990219116210938
2023-12-15 00:00:00,68.07244909262536,1.098538875579834
2023-12-15 05:00:00,63.29002636665862,1.098780393600464
2023-12-19 13:00:00,68.64205583286315,1.0964912176132202
2023-12-19 16:00:00,69.52540816718032,1.098056435585022
2023-12-19 23:00:00,67.53109799840155,1.0982975959777832
2023-12-26 20:00:00,68.57249171682912,1.1046061515808103
2023-12-28 04:00:00,67.7504740830843,1.1113580465316772
2023-12-28 11:00:00,64.02728450493754,1.1122233867645264
2024-01-22 03:00:00,62.52232161892332,1.09051251411438
2024-01-24 14:00:00,60.317712639904514,1.0906314849853516
2024-02-22 09:00:00,65.10076915155977,1.0855406522750854
2024-02-26 14:00:00,60.58162704862749,1.0848339796066284
2024-03-06 17:00:00,69.33339284295865,1.09051251411438
2024-03-08 01:00:00,69.00751922741318,1.09505033493042
2024-03-13 18:00:00,63.68441581127996,1.0954102277755735
2024-04-04 11:00:00,68.7172058582183,1.0855406522750854
2024-04-04 15:00:00,69.46838682787651,1.08672034740448
2024-04-25 11:00:00,62.10928836873933,1.0721560716629028
2024-05-01 19:00:00,53.65798899948078,1.069290041923523
2024-05-03 13:00:00,69.6430061937212,1.0781670808792114
2024-05-14 15:00:00,68.36394432636023,1.0820168256759644
2024-05-14 20:00:00,67.74167056177538,1.0822510719299316
2024-05-15 04:00:00,61.47633502017568,1.08236825466156
2024-05-15 13:00:00,57.60949907261976,1.0838934183120728
2024-05-16 01:00:00,68.96740231519033,1.0889687538146973
2024-06-04 05:00:00,65.00280126243254,1.0906314849853516
2024-07-03 17:00:00,62.33396649972931,1.0786322355270386
2024-07-04 17:00:00,69.32614969266618,1.0814317464828491
2024-07-04 20:00:00,68.16674809565048,1.0814317464828491
2024-07-05 10:00:00,69.7686615976667,1.0828369855880735
2024-07-12 15:00:00,69.4300236154998,1.09051251411438
2024-07-12 21:00:00,69.8595589230523,1.0909883975982666
2024-07-17 10:00:00,63.94702739154907,1.0933741331100464
2024-08-13 14:00:00,67.26159731913944,1.0958904027938845
2024-08-14 02:00:00,69.35527738396775,1.099384307861328
2024-08-14 15:00:00,66.89039938165305,1.102657437324524
2024-08-18 23:00:00,67.49008853102254,1.1027790307998655
2024-08-19 02:00:00,69.40836843281662,1.1033873558044434
2024-08-19 06:00:00,69.81808398010733,1.1044842004776
2024-08-19 08:00:00,65.09841801834125,1.1041183471679688
2024-08-20 02:00:00,64.19333851535876,1.1079105138778689
2024-08-20 15:00:00,69.93249469467398,1.110864281654358
2024-08-21 01:00:00,67.58165938599872,1.1124708652496338
2024-08-21 19:00:00,66.91066743604327,1.1155734062194824
2024-11-05 20:00:00,68.45312225901336,1.0927767753601074
2024-11-05 22:00:00,64.70486529624056,1.0926573276519775
2024-11-27 14:00:00,69.95745000552459,1.0560777187347412
2024-11-27 18:00:00,68.49308013276125,1.056970715522766
2024-12-06 14:00:00,52.70790035704307,1.0580891370773315
2024-12-26 17:00:00,57.66196669280511,1.0414496660232544
2025-01-06 10:00:00,61.85045014301578,1.0339123010635376
2025-01-06 14:00:00,66.3300806317099,1.039501070976257
2025-01-07 11:00:00,63.60765808183401,1.0416667461395264
2025-02-14 16:00:00,66.5379176791781,1.0500892400741575
2025-03-04 10:00:00,68.77590596896081,1.0513036251068115
2025-03-04 14:00:00,61.36703529083419,1.0524100065231323
2025-03-05 02:00:00,68.88555248431841,1.060782790184021
2025-03-05 11:00:00,69.71297637545463,1.0680338144302368
2025-03-06 03:00:00,68.75359207208521,1.079214334487915
2025-03-06 06:00:00,69.37221139626827,1.0806137323379517
