divergence_confirmed_time
2023-10-13 13:30:00
2023-11-08 19:30:00
2023-11-09 19:30:00
2023-11-21 17:30:00
2023-11-22 19:30:00
2023-11-29 19:30:00
2023-12-06 19:30:00
2023-12-21 15:30:00
2024-01-12 19:30:00
2024-01-26 20:30:00
2024-01-31 17:30:00
2024-02-29 19:30:00
2024-03-08 19:30:00
2024-03-27 18:30:00
2024-05-10 18:30:00
2024-05-21 13:30:00
2024-05-23 18:30:00
2024-06-10 14:30:00
2024-06-18 15:30:00
2024-06-27 18:30:00
2024-07-11 18:30:00
2024-07-15 19:30:00
2024-07-17 17:30:00
2024-08-21 19:30:00
2024-08-22 18:30:00
2024-08-30 14:30:00
2024-09-03 17:30:00
2024-09-17 19:30:00
2024-09-25 18:30:00
2024-09-26 18:30:00
2024-10-01 17:30:00
2024-10-17 18:30:00
2024-12-03 17:30:00
2024-12-06 19:30:00
2025-01-24 19:30:00
2025-02-20 17:30:00
2025-03-20 16:30:00
2025-04-30 15:30:00
2025-05-01 19:30:00
2025-05-09 14:30:00
2025-05-20 14:30:00
2025-06-06 18:30:00
2025-06-16 19:30:00
2025-07-07 17:30:00
2025-07-15 18:30:00
2025-07-29 18:30:00
2025-07-31 18:30:00
2025-08-15 18:30:00
2025-09-16 18:30:00
2025-09-18 19:30:00
2025-10-07 18:30:00
2025-10-09 18:30:00
2025-11-03 19:30:00
2025-12-02 20:30:00
2025-12-04 19:30:00
2025-12-05 20:30:00
2026-01-12 17:30:00
2026-02-11 19:30:00
2026-04-06 18:30:00
2026-04-20 14:30:00
2026-04-28 17:30:00
2026-05-12 15:30:00
2026-05-15 13:30:00
2026-06-02 19:30:00
2026-07-07 16:30:00
2026-07-13 17:30:00
