divergence_confirmed_time,swing_time,price_at_swing,macd_at_swing,prev_swing_price,prev_swing_macd
2023-12-01 21:00:00,2023-12-01 16:00:00,1.0835410356521606,-0.0016244616801723,1.0882576704025269,-0.0022233576185448
2023-12-04 12:00:00,2023-12-04 07:00:00,1.0853049755096436,-0.0008533865353466,1.08695650100708,-0.0008855330659323
2023-12-05 12:00:00,2023-12-05 07:00:00,1.0807305574417114,-0.0009129857385845,1.0808473825454712,-0.0012258618861988
2023-12-06 17:00:00,2023-12-06 12:00:00,1.07758629322052,-0.0009215201548928,1.0781670808792114,-0.0014787376840985
2023-12-07 01:00:00,2023-12-06 20:00:00,1.0761945247650146,-0.0009118006220727,1.07758629322052,-0.0009215201548928
2023-12-08 18:00:00,2023-12-08 13:00:00,1.0730764865875244,-0.0003784407255522,1.0761945247650146,-0.0009118006220727
2024-01-05 18:00:00,2024-01-05 13:00:00,1.0883761644363403,-0.0007797660520574,1.0897995233535769,-0.0017648595367951
2024-01-15 15:00:00,2024-01-15 10:00:00,1.0936132669448853,-0.0003189705586199,1.0944511890411377,-0.0004437091385216
2024-01-17 20:00:00,2024-01-17 15:00:00,1.0848339796066284,-0.0009515391120353,1.085894227027893,-0.0012244464153936
2024-01-26 12:00:00,2024-01-26 07:00:00,1.081548810005188,-0.001079133773578,1.082719802856445,-0.0012318566757518
2024-02-01 01:00:00,2024-01-31 20:00:00,1.0797970294952393,0.0001409252891093,1.080964207649231,-0.0004311350138199
2024-02-23 20:00:00,2024-02-23 15:00:00,1.081548810005188,5.19860415493234e-06,1.0816657543182373,-7.87477323505037e-05
2024-03-18 05:00:00,2024-03-18 00:00:00,1.0883761644363403,-0.0002240121694381,1.0884946584701538,-0.0005151725273762
2024-03-25 13:00:00,2024-03-25 08:00:00,1.080964207649231,-0.0006847802596461,1.08119797706604,-0.0017894282804931
2024-03-28 05:00:00,2024-03-28 00:00:00,1.0810810327529907,-0.000352890078574,1.0814317464828491,-0.0003865084031395
2024-04-16 11:00:00,2024-04-16 06:00:00,1.060557842254639,-0.0010785645370188,1.062699317932129,-0.0026993537799118
2024-04-16 22:00:00,2024-04-16 17:00:00,1.0604453086853027,-0.0002682857868121,1.060557842254639,-0.0010785645370188
2024-05-09 16:00:00,2024-05-09 11:00:00,1.072846293449402,-0.000503698294008,1.0738831758499146,-0.0006512903788249
2024-05-21 18:00:00,2024-05-21 13:00:00,1.0848339796066284,-0.0001120596847408,1.0854227542877195,-0.0002764104223116
2024-05-23 12:00:00,2024-05-23 07:00:00,1.081548810005188,-0.0005010588783826,1.0824854373931885,-0.0005098275823502
2024-05-27 17:00:00,2024-05-27 12:00:00,1.084481120109558,0.0005453371924997,1.0847163200378418,0.0005362843433689
2024-06-21 12:00:00,2024-06-21 07:00:00,1.067463755607605,-0.0006422922071358,1.0702054500579834,-0.000909285134413
2024-07-16 18:00:00,2024-07-16 13:00:00,1.0875475406646729,-0.0001924477696617,1.0887316465377808,-0.0001928765046066
2024-07-22 19:00:00,2024-07-22 14:00:00,1.0876659154891968,-0.0002328344546396,1.0882576704025269,-0.0002585740006881
