Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,MACD,MACD_signal,MACD_hist,RSI_14,ATR_14,trend,pullback_low_ref,pullback_high_ref,pullback_low_id,pullback_high_id,choch_event
2023-09-25 19:30:00,4326.7099609375,4338.509765625,4324.81005859375,4337.31005859375,290159000,0.0,0.0,-4.123901140224007,-3.8837968814705053,-0.2401042587535014,50.77949339661458,16.688581194196427,,,,,,0
2023-09-26 13:30:00,4312.8798828125,4313.009765625,4285.56005859375,4294.35986328125,0,0.0,0.0,-6.80458647560863,-4.467954800298131,-2.3366316753104996,32.42289906361928,19.404994419642858,,,,,,0
2023-09-26 14:30:00,4294.52978515625,4301.9501953125,4283.52001953125,4283.52001953125,243125502,0.0,0.0,-9.692010254321758,-5.512765891102856,-4.179244363218902,29.522246509207378,19.923549107142858,,,,,,0
2023-09-26 15:30:00,4283.39013671875,4292.990234375,4282.0,4291.97998046875,198102842,0.0,0.0,-11.16891792349179,-6.643996297580643,-4.524921625911147,34.45103017657556,19.707868303571427,,,,,,0
2023-09-26 16:30:00,4291.9501953125,4295.27978515625,4285.830078125,4285.830078125,174162094,0.0,0.0,-12.689348701134804,-7.853066778291476,-4.8362819228433285,32.66279124849311,19.12353515625,,,,,,0
2023-09-26 17:30:00,4285.77978515625,4287.240234375,4274.27001953125,4274.669921875,205299666,0.0,0.0,-14.626230308107552,-9.207699484254691,-5.41853082385286,29.654620767610567,18.900669642857142,,,,,,0
2023-09-26 18:30:00,4274.7001953125,4276.8701171875,4265.97998046875,4268.08984375,240731000,0.0,0.0,-16.50195597245238,-10.66655078189423,-5.8354051905581485,28.01627700879702,17.862095424107142,,,,,,0
2023-09-26 19:30:00,4268.02001953125,4275.66015625,4266.56005859375,4273.669921875,356136000,0.0,0.0,-17.338350691270534,-12.000910763769491,-5.337439927501043,31.47378591915607,16.547119140625,,,,,,0
2023-09-27 13:30:00,4282.6298828125,4292.06982421875,4274.0498046875,4283.77001953125,0,0.0,0.0,-16.990351860885312,-12.998798983192657,-3.991552877692655,37.34038861399869,16.365687779017858,,,,,,0
2023-09-27 14:30:00,4283.68017578125,4284.2998046875,4265.830078125,4274.7998046875,267820470,0.0,0.0,-17.239653655259644,-13.846969917606057,-3.392683737653588,34.51426879276387,16.053536551339285,,,,,,0
2023-09-27 15:30:00,4274.97021484375,4276.31982421875,4253.31005859375,4257.2099609375,216380081,0.0,0.0,-18.641690703214408,-14.805914074727728,-3.8357766284866806,29.758066974778856,16.909946986607142,,,,,,0
2023-09-27 16:30:00,4257.169921875,4263.93017578125,4243.5498046875,4243.75,208802545,0.0,0.0,-20.601440935763094,-15.965019446934802,-4.636421488828292,26.72334495095157,17.447126116071427,,,,,,0
2023-09-27 17:30:00,4243.72998046875,4259.4599609375,4238.6298828125,4259.43017578125,224818000,0.0,0.0,-20.651243295686072,-16.902264216685058,-3.748979079001014,35.03496508857047,18.196428571428573,,,,,,0
2023-09-27 18:30:00,4259.47021484375,4290.93017578125,4259.47021484375,4281.1201171875,294453000,0.0,0.0,-18.72466869859454,-17.266745113066957,-1.4579235855275847,44.42545223957043,19.276436941964285,,,,,,0
2023-09-27 19:30:00,4280.9599609375,4281.58984375,4264.68994140625,4274.72021484375,344745000,0.0,0.0,-17.512391139136525,-17.31587431828087,-0.19651682085565625,42.47454408418995,19.505022321428573,,,,,,0
2023-09-28 13:30:00,4269.64990234375,4287.52978515625,4264.3798828125,4278.68017578125,0,0.0,0.0,-16.047135299657384,-17.062126514556173,1.0149912148987887,44.110009045801824,17.462158203125,,,,,,0
2023-09-28 14:30:00,4278.81982421875,4297.9599609375,4268.919921875,4297.9599609375,292316842,0.0,0.0,-13.178280936607734,-16.285357398966486,3.1070764623587515,51.36048304707168,18.220005580357142,,,,,,0
2023-09-28 15:30:00,4298.1201171875,4317.18017578125,4298.1201171875,4316.52978515625,258031192,0.0,0.0,-9.299069678174419,-14.888099854808074,5.5890301766336545,57.129258581772575,18.807861328125,0.0,,,,,0
2023-09-28 16:30:00,4316.5498046875,4317.27001953125,4298.52001953125,4300.0,198092144,0.0,0.0,-7.472444634279782,-13.404968810702416,5.932524176422634,51.297076168884175,19.47216796875,0.0,,,,,0
2023-09-28 17:30:00,4299.9599609375,4305.669921875,4292.22021484375,4303.830078125,189402000,0.0,0.0,-5.6506387849694875,-11.85410280555583,6.203464020586342,52.50691630269771,19.506417410714285,0.0,,,,,0
2023-09-28 18:30:00,4303.8798828125,4312.60009765625,4290.330078125,4312.06005859375,234688000,0.0,0.0,-3.50238061737673,-10.18375836792001,6.68137775054328,55.088613317125095,20.319266183035715,0.0,,,,,0
2023-09-28 19:30:00,4312.06005859375,4312.66015625,4295.0498046875,4299.259765625,337317000,0.0,0.0,-2.8004651887931686,-8.707099732094642,5.9066345433014735,50.49136653945531,20.927141462053573,0.0,,,,,0
2023-09-29 13:30:00,4328.18017578125,4333.14990234375,4315.6298828125,4318.39013671875,0,0.0,0.0,-0.6925478262846809,-7.104189350932651,6.41164152464797,56.353712613427724,22.033586774553573,0.0,,,,,0
2023-09-29 14:30:00,4318.27978515625,4328.22021484375,4315.10009765625,4315.1201171875,278553963,0.0,0.0,0.7059904048264798,-5.542153399780825,6.248143804607305,55.15155906433865,21.651471819196427,0.0,,,,,0
2023-09-29 15:30:00,4315.240234375,4316.9501953125,4302.080078125,4309.14013671875,212882914,0.0,0.0,1.3166302874797111,-4.170396662328718,5.487026949808429,52.9279590908752,21.070068359375,0.0,,,,,0
2023-09-29 16:30:00,4309.25,4311.0498046875,4280.56982421875,4289.89990234375,200165821,0.0,0.0,0.24521400280627859,-3.2872745293017194,3.532488532107998,46.44028508391581,21.791469029017858,0.0,,,,,0
2023-09-29 17:30:00,4289.8701171875,4291.2900390625,4275.60986328125,4277.0498046875,197889000,0.0,0.0,-1.6220881871404345,-2.954237260869463,1.3321490737290285,42.67770556011642,21.423618861607142,0.0,,,,,0
2023-09-29 18:30:00,4277.43994140625,4299.2001953125,4274.85986328125,4291.06005859375,227981000,0.0,0.0,-1.9489618056932159,-2.7531821698342136,0.8042203641409977,47.65706149742384,20.912214006696427,0.0,,,,,0
2023-09-29 19:30:00,4291.08984375,4303.1201171875,4282.169921875,4289.1298828125,378865000,0.0,0.0,-2.3368231155336616,-2.669910358974103,0.3330872434404415,47.05067295733821,21.201520647321427,0.0,,,,,0
2023-10-02 13:30:00,4284.52001953125,4295.75,4276.91015625,4281.60009765625,0,0.0,0.0,-3.214739218436989,-2.7788761308666805,-0.43586308757030867,44.663171269257916,20.893659319196427,0.0,,,,,0
2023-10-02 14:30:00,4282.52978515625,4299.39013671875,4274.68017578125,4298.3701171875,299457067,0.0,0.0,-2.528150684391221,-2.7287310415715886,0.20058035718036749,50.667280340821705,20.584368024553573,0.0,,,,,0
2023-10-02 15:30:00,4298.3701171875,4300.580078125,4265.06005859375,4270.5,241796197,0.0,0.0,-4.184671572282241,-3.0199191477137193,-1.1647524245685217,42.42819863783631,21.748639787946427,0.0,,,,,0
2023-10-02 16:30:00,4270.5,4272.490234375,4260.2099609375,4271.1298828125,202248935,0.0,0.0,-5.384579945874066,-3.4928513073457887,-1.891728638528277,42.655159624567474,21.286516462053573,0.0,,,,,0
2023-10-02 17:30:00,4271.259765625,4282.35009765625,4263.97998046875,4264.2099609375,209727000,0.0,0.0,-6.815332924376889,-4.157347630752009,-2.65798529362488,40.75433804890038,21.637974330357142,0.0,,,,,0
2023-10-02 18:30:00,4264.169921875,4275.8798828125,4260.52978515625,4272.89013671875,250069000,0.0,0.0,-7.166189948637111,-4.7591160943290305,-2.4070738543080807,44.118302396520235,21.143694196428573,0.0,,,,,0
2023-10-02 19:30:00,4272.919921875,4288.259765625,4271.3701171875,4288.240234375,374800000,0.0,0.0,-6.13490273354364,-5.034273422171953,-1.1006293113716872,49.57135212173264,21.092215401785715,0.0,,,,,0
2023-10-03 13:30:00,4269.75,4281.14990234375,4239.22021484375,4240.06005859375,0,0.0,0.0,-9.100433579100354,-5.847505453557633,-3.252928125542721,37.27599744431377,22.172921316964285,0.0,,,,,0
2023-10-03 14:30:00,4240.0400390625,4245.41015625,4227.93017578125,4230.18017578125,312948471,0.0,0.0,-12.108285336826157,-7.099661430211338,-5.008623906614819,35.340252892325395,22.484340122767858,0.0,,,,,0
2023-10-03 15:30:00,4230.06982421875,4238.8798828125,4222.509765625,4238.669921875,241512468,0.0,0.0,-13.649633488968902,-8.409655841962852,-5.23997764700605,38.30505652994581,22.591482979910715,0.0,,,,,0
2023-10-03 16:30:00,4238.66015625,4242.2900390625,4231.14013671875,4232.81982421875,200693000,0.0,0.0,-15.16836551819506,-9.761397777209295,-5.406967740985765,37.044566127745426,21.210763113839285,0.0,,,,,0
2023-10-03 17:30:00,4232.77978515625,4233.169921875,4216.4501953125,4219.3798828125,216338000,0.0,0.0,-17.25752849636956,-11.260623921041349,-5.996904575328211,34.255655122769284,21.285016741071427,0.0,,,,,0
2023-10-03 18:30:00,4219.35986328125,4229.740234375,4218.91015625,4220.64990234375,267351000,0.0,0.0,-18.59635800673277,-12.727770738179633,-5.868587268553139,34.75551886135008,20.319998604910715,0.0,,,,,0
2023-10-03 19:30:00,4220.6201171875,4230.2900390625,4217.3701171875,4230.2900390625,393046000,0.0,0.0,-18.6643604431938,-13.915088679182468,-4.749271764011333,38.57327404630974,19.746407645089285,0.0,,,,,0
2023-10-04 13:30:00,4233.830078125,4248.18994140625,4220.47998046875,4220.47998046875,0,0.0,0.0,-19.28750821777794,-14.989572586901563,-4.297935630876378,36.24876822182762,20.379987444196427,0.0,,,,,0
2023-10-04 14:30:00,4220.85009765625,4243.72021484375,4220.830078125,4242.81005859375,291468240,0.0,0.0,-17.774611971737613,-15.546580463868773,-2.22803150786884,44.45415469031311,20.275006975446427,0.0,,,,,0
2023-10-04 15:30:00,4242.52001953125,4255.9501953125,4236.91015625,4254.240234375,225662721,0.0,0.0,-15.474925825233186,-15.532249536141656,0.057323710908470105,48.13408706063816,19.097865513392858,0.0,,,,,0
2023-10-04 16:30:00,4254.27978515625,4257.6201171875,4240.490234375,4240.6201171875,199345468,0.0,0.0,-14.583330063581343,-15.342465641629593,0.7591355780482498,44.36255802412086,19.444266183035715,0.0,,,,,0
2023-10-04 17:30:00,4240.68017578125,4242.9501953125,4231.85009765625,4239.2998046875,209239000,0.0,0.0,-13.823918654155023,-15.03875624413468,1.2148375899796573,44.00262320744653,18.924979073660715,0.0,,,,,0
2023-10-04 18:30:00,4239.2001953125,4261.60009765625,4236.080078125,4258.4599609375,247837000,0.0,0.0,-11.542955157833603,-14.339596026874466,2.7966408690408624,50.30400331605004,19.651402064732142,0.0,,,,,0
2023-10-04 19:30:00,4258.7001953125,4268.5,4256.97998046875,4263.6201171875,374090000,0.0,0.0,-9.212695450940373,-13.314215911687647,4.101520460747274,51.87469161898159,19.267857142857142,0.0,,,,,0
2023-10-05 13:30:00,4259.31005859375,4266.5498046875,4241.39013671875,4248.4501953125,0,0.0,0.0,-8.492141636981614,-12.349801056746442,3.8576594197648273,47.15610723260163,17.563546316964285,0.0,,,,,0
2023-10-05 14:30:00,4248.43994140625,4248.77978515625,4225.91015625,4233.93017578125,272273845,0.0,0.0,-8.989120786520289,-11.677665002701213,2.688544216180924,43.11370024473174,17.948521205357142,0.0,,,,,0
2023-10-05 15:30:00,4233.919921875,4245.97021484375,4229.7998046875,4245.75,220169928,0.0,0.0,-8.333159831684497,-11.00876396849787,2.675604136813373,47.08990832972919,17.934256417410715,0.0,,,,,0
2023-10-05 16:30:00,4245.7099609375,4248.2900390625,4232.9501953125,4242.7900390625,177490439,0.0,0.0,-7.960387764286679,-10.399088727655633,2.4387009633689534,46.21866697949738,18.233537946428573,0.0,,,,,0
2023-10-05 17:30:00,4242.72998046875,4259.39013671875,4238.830078125,4256.419921875,222761000,0.0,0.0,-6.490329108041806,-9.617336803732867,3.127007695691061,50.73837322792662,18.507847377232142,-1.0,,4268.5,,3.0,0
2023-10-05 18:30:00,4256.4599609375,4267.1298828125,4256.22998046875,4262.419921875,240292000,0.0,0.0,-4.785977407474093,-8.651064924481112,3.8650875170070194,52.625775914382004,18.512834821428573,-1.0,,4268.5,,3.0,0
2023-10-05 19:30:00,4262.5,4263.419921875,4256.14013671875,4258.25,359374000,0.0,0.0,-3.7287614109318383,-7.666604221771258,3.9378428108394194,51.15875226677015,18.109967912946427,-1.0,,4268.5,,3.0,0
2023-10-06 13:30:00,4234.7900390625,4243.22021484375,4219.5498046875,4242.759765625,451022078,0.0,0.0,-4.093653484456809,-6.9520140743083685,2.85836058985156,46.0259331625082,18.894984654017858,-1.0,,4268.5,,3.0,0
2023-10-06 14:30:00,4242.56005859375,4274.39013671875,4242.56005859375,4270.39013671875,329708428,0.0,0.0,-2.1287540988632827,-5.987362079219352,3.8586079803560693,54.74745775501679,19.508544921875,-1.0,,4268.5,,3.0,1
2023-10-06 15:30:00,4270.81982421875,4305.56982421875,4270.81982421875,4295.2099609375,285802494,0.0,0.0,1.4148852901935243,-4.506912605336777,5.921797895530301,60.86490614186142,20.661376953125,-1.0,,4268.5,,3.0,0
2023-10-06 16:30:00,4295.60986328125,4309.240234375,4290.35009765625,4307.2099609375,207585000,0.0,0.0,5.132381845262898,-2.579053715216842,7.711435560479741,63.43838126787783,20.787109375,-1.0,,4268.5,,3.0,0
2023-10-06 17:30:00,4307.27001953125,4317.490234375,4304.16015625,4317.43994140625,216187000,0.0,0.0,8.802528507338138,-0.3027372707058458,9.105265778043984,65.51999053851605,20.946393694196427,-1.0,,4268.5,,3.0,0
2023-10-06 18:30:00,4317.43994140625,4324.10009765625,4314.68994140625,4321.0498046875,263686000,0.0,0.0,11.865652125333327,2.130940608501989,9.734711516831338,66.25019700191046,19.795689174107142,-1.0,,4268.5,,3.0,0
2023-10-06 19:30:00,4321.009765625,4322.31982421875,4307.52001953125,4307.89013671875,366696000,0.0,0.0,13.08054011200693,4.320860509202977,8.759679602803953,61.16486643162027,20.029959542410715,-1.0,,4268.5,,3.0,0
2023-10-09 13:30:00,4289.02001953125,4304.47021484375,4287.47021484375,4296.60986328125,0,0.0,0.0,12.983458572511154,6.053380121864613,6.9300784506465405,57.11760391671117,19.69140625,-1.0,,4268.5,,3.0,0
2023-10-09 14:30:00,4296.6298828125,4300.5,4283.7900390625,4300.22021484375,234439278,0.0,0.0,13.047443148290768,7.4521927271498445,5.595250421140923,58.07382676689426,19.251429966517858,-1.0,,4268.5,,3.0,0
2023-10-09 15:30:00,4300.18994140625,4313.02001953125,4296.14013671875,4305.41015625,181921034,0.0,0.0,13.362897122995491,8.634333606318974,4.728563516676518,59.47284643438981,19.302106584821427,-1.0,,4268.5,,3.0,0
2023-10-09 16:30:00,4305.330078125,4312.64013671875,4299.43994140625,4312.4501953125,156115718,0.0,0.0,14.01936250277231,9.71133938560964,4.308023117162669,61.35654679639818,19.149274553571427,-1.0,,4324.10009765625,,6.0,0
2023-10-09 17:30:00,4312.47998046875,4338.39013671875,4312.47998046875,4337.58984375,218412719,0.0,0.0,16.379364456269286,11.04494439974157,5.334420056527716,67.21645081650047,19.533551897321427,-1.0,,4324.10009765625,,6.0,1
2023-10-09 18:30:00,4337.6201171875,4341.72998046875,4330.8701171875,4335.9599609375,216409000,0.0,0.0,17.911690270048894,12.418293573803037,5.493396696245856,66.51224750814796,19.530691964285715,-1.0,,4324.10009765625,,6.0,0
