divergence_confirmed_time
2024-05-24 06:00:00
2024-06-04 19:00:00
2024-06-05 12:00:00
2024-06-11 07:00:00
2024-06-13 06:00:00
2024-06-25 06:00:00
2024-06-26 18:00:00
2024-07-10 23:00:00
2024-07-15 18:00:00
2024-07-16 17:00:00
2024-07-22 17:00:00
2024-07-23 11:00:00
2024-07-26 19:00:00
2024-07-29 20:00:00
2024-08-02 20:00:00
2024-09-11 19:00:00
2024-09-26 18:00:00
2024-10-09 18:00:00
2024-10-17 22:00:00
2024-11-04 04:00:00
2024-11-12 12:00:00
2024-11-21 02:00:00
2024-11-27 23:00:00
2024-12-13 19:00:00
2024-12-20 16:00:00
2024-12-31 19:00:00
2025-01-08 23:00:00
2025-01-14 13:00:00
2025-01-27 23:00:00
2025-02-12 18:00:00
2025-02-24 20:00:00
2025-02-26 19:00:00
2025-04-03 03:00:00
2025-04-09 06:00:00
2025-05-09 01:00:00
2025-05-12 03:00:00
2025-05-19 19:00:00
2025-06-23 03:00:00
2025-06-24 03:00:00
2025-07-16 19:00:00
2025-07-29 12:00:00
2025-08-01 13:00:00
2025-08-15 18:00:00
2025-09-18 11:00:00
2025-10-22 05:00:00
2025-10-28 14:00:00
2025-11-17 10:00:00
2025-11-18 12:00:00
2025-11-19 23:00:00
2025-11-25 19:00:00
2026-03-05 11:00:00
2026-03-13 02:00:00
2026-03-18 18:00:00
2026-03-23 12:00:00
2026-05-07 20:00:00
2026-05-18 06:00:00
2026-05-19 18:00:00
2026-06-10 17:00:00
2026-06-11 04:00:00
2026-06-24 06:00:00
2026-06-26 07:00:00
2026-07-13 23:00:00
2026-07-14 06:00:00
2026-07-28 19:00:00
2026-07-29 19:00:00
