Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MACD,MACD_signal,MACD_hist,ATR_14,is_price_swing_high,is_price_swing_low,is_macd_swing_high,is_macd_swing_low
2021-09-07 00:00:00+01:00,1.187394618988037,1.1887779235839844,1.1838297843933105,1.1875073909759521,0,0.0,0.0,0.004302238768582267,0.0027438372731705845,0.0015584014954116827,0.005146614142826625,False,False,False,False
2021-09-08 00:00:00+01:00,1.1845533847808838,1.185400128364563,1.1803170442581177,1.184356927871704,0,0.0,0.0,0.004226565900439461,0.0030403829986243597,0.001186182901815101,0.0053879788943699426,False,False,False,False
2021-09-09 00:00:00+01:00,1.1820330619812012,1.1841325759887695,1.1806097030639648,1.1819101572036743,0,0.0,0.0,0.003923928062702142,0.0032170920114399167,0.0007068360512622256,0.005381626742226737,False,False,False,False
2021-09-10 00:00:00+01:00,1.1823545694351196,1.185300350189209,1.1819353103637695,1.1825922727584839,0,0.0,0.0,0.003696515293203584,0.0033129766677926506,0.0003835386254109332,0.005147380488259452,False,False,False,False
2021-09-13 00:00:00+01:00,1.1812511682510376,1.1817537546157837,1.1770604848861694,1.1811953783035278,0,0.0,0.0,0.0033647841891475405,0.003323338172063629,4.144601708391165e-05,0.005061822278159005,False,False,False,False
2021-09-14 00:00:00+01:00,1.1810698509216309,1.1846994161605835,1.1801999807357788,1.1811953783035278,0,0.0,0.0,0.003066535783529334,0.0032719776943567697,-0.00020544191082743583,0.005154635225023542,False,False,False,False
2021-09-15 00:00:00+01:00,1.18035888671875,1.183300256729126,1.1800997257232666,1.1804981231689453,0,0.0,0.0,0.0027422976113142816,0.0031660416777482725,-0.0004237440664339909,0.005144000053405762,False,False,False,False
2021-09-16 00:00:00+01:00,1.1819353103637695,1.1823126077651978,1.1751710176467896,1.1819995641708374,0,0.0,0.0,0.002576786671851794,0.003048190676568977,-0.00047140400471718316,0.005171247891017369,False,False,False,False
2021-09-17 00:00:00+01:00,1.17648446559906,1.1789672374725342,1.1729655265808105,1.176747441291809,0,0.0,0.0,0.0019987750033263474,0.002838307541920451,-0.0008395325385941038,0.005419773714882987,False,False,False,False
2021-09-20 00:00:00+01:00,1.1728830337524414,1.1737089157104492,1.1700559854507446,1.1729930639266968,0,0.0,0.0,0.0012236443050901435,0.0025153748945543897,-0.0012917305894642461,0.005547395774296352,False,False,False,False
2021-09-21 00:00:00+01:00,1.1725666522979736,1.1748948097229004,1.1715912818908691,1.1730204820632935,0,0.0,0.0,0.0006045907113274573,0.002133218057909003,-0.0015286273465815459,0.00531973157610212,False,False,False,False
2021-09-22 00:00:00+01:00,1.1726078987121582,1.1744533777236938,1.1717147827148438,1.17229163646698,0,0.0,0.0,5.454576025409885e-05,0.0017174835983780224,-0.0016629378381239235,0.005072670323508126,False,False,False,False
2021-09-23 00:00:00+01:00,1.1688934564590454,1.175100564956665,1.1684194803237915,1.168770432472229,0,0.0,0.0,-0.0006579165088034244,0.001242403576941733,-0.0019003200857451575,0.005073530333382743,False,False,False,False
2021-09-24 00:00:00+01:00,1.1741775274276733,1.1748120784759521,1.1701655387878418,1.1740258932113647,0,0.0,0.0,-0.0007893767858970779,0.0008360475043739709,-0.0016254242902710488,0.005295685359409877,False,False,False,False
2021-09-27 00:00:00+01:00,1.1722092628479004,1.1728004217147827,1.1686612367630005,1.1723054647445679,0,0.0,0.0,-0.0010206191395365494,0.0004647141755918669,-0.0014853333151284163,0.005325436592102051,False,False,False,False
2021-09-28 00:00:00+01:00,1.1696043014526367,1.1705996990203857,1.1669973134994507,1.1696795225143433,0,0.0,0.0,-0.0013996378094482953,9.184377858383448e-05,-0.0014914815880321297,0.00519099405833653,False,False,False,False
2021-09-29 00:00:00+01:00,1.168688416481018,1.1691995859146118,1.1610087156295776,1.1686338186264038,0,0.0,0.0,-0.0017640574443493762,-0.00027933646600280767,-0.0014847209783465684,0.005542678492409843,False,False,False,False
2021-09-30 00:00:00+01:00,1.1602274179458618,1.161170482635498,1.1570056676864624,1.1601601839065552,0,0.0,0.0,-0.0027054276494093976,-0.0007645547026841257,-0.001940872946725272,0.006131104060581752,False,False,False,False
2021-10-01 00:00:00+01:00,1.1574207544326782,1.1608995199203491,1.1563901901245117,1.1574475765228271,0,0.0,0.0,-0.003628527656641012,-0.001337349293475503,-0.0022911783631655086,0.006058071340833392,False,False,False,False
2021-10-04 00:00:00+01:00,1.160725712776184,1.1640088558197021,1.1588560342788696,1.160725712776184,0,0.0,0.0,-0.004048899668801065,-0.0018796593685406157,-0.002169240300260449,0.006205345903124128,False,False,False,False
2021-10-05 00:00:00+01:00,1.1616560220718384,1.16225004196167,1.1583056449890137,1.1618449687957764,0,0.0,0.0,-0.004242824273132051,-0.0023522923494589025,-0.0018905319236731484,0.006258479186466762,False,False,False,False
2021-10-06 00:00:00+01:00,1.1595144271850586,1.1599582433700562,1.1530168056488037,1.1596084833145142,0,0.0,0.0,-0.004524817328897868,-0.002786797345346696,-0.0017380199835511719,0.00637894868850708,False,True,False,False
2021-10-07 00:00:00+01:00,1.1555349826812744,1.157139539718628,1.1549345254898071,1.1555349826812744,0,0.0,0.0,-0.005019138806820145,-0.003233265637641386,-0.001785873169178759,0.006067514419555664,False,False,False,False
2021-10-08 00:00:00+01:00,1.1559224128723145,1.1583727598190308,1.1542545557022095,1.1559758186340332,0,0.0,0.0,-0.005314063150194004,-0.0036494251401519096,-0.0016646380100420943,0.005883710724966866,False,False,False,False
2021-10-11 00:00:00+01:00,1.1565908193588257,1.1587486267089844,1.15529465675354,1.1566041707992554,0,0.0,0.0,-0.005434445147916911,-0.00400642914170491,-0.0014280160062120012,0.005894456590924945,False,False,False,False
2021-10-12 00:00:00+01:00,1.15529465675354,1.1570056676864624,1.1533892154693604,1.1553747653961182,0,0.0,0.0,-0.005564902754953804,-0.004318123864354689,-0.0012467788905991158,0.0059571606772286555,False,False,False,False
2021-10-13 00:00:00+01:00,1.1530966758728027,1.1579005718231201,1.1530567407608032,1.15340256690979,0,0.0,0.0,-0.005761021810601896,-0.00460670345360413,-0.001154318356997766,0.005825928279331752,False,False,False,True
2021-10-14 00:00:00+01:00,1.1599582433700562,1.162500023841858,1.1584665775299072,1.1599582433700562,0,0.0,0.0,-0.005326063725625829,-0.00475057550800847,-0.0005754882176173589,0.006044200488499233,False,False,False,False
2021-10-15 00:00:00+01:00,1.1590708494186401,1.1619800329208374,1.1588828563690186,1.159151554107666,0,0.0,0.0,-0.004988939996497521,-0.004798248405706281,-0.00019069159079124036,0.0058822376387459895,False,False,False,False
2021-10-18 00:00:00+01:00,1.159595012664795,1.1612108945846558,1.1573002338409424,1.1597026586532593,0,0.0,0.0,-0.004623994945862631,-0.004763397713737551,0.00013940276787492017,0.005782416888645717,False,False,False,False
2021-10-19 00:00:00+01:00,1.1614537239074707,1.1670000553131104,1.1614537239074707,1.161386251449585,0,0.0,0.0,-0.004151070538440438,-0.004640932278678129,0.0004898617402376909,0.005684316158294678,False,False,False,False
2021-10-20 00:00:00+01:00,1.1633858680725098,1.1654006242752075,1.1618045568466187,1.1631964445114136,0,0.0,0.0,-0.003588837205317885,-0.0044305132640060805,0.0008416760586881953,0.00514047486441476,False,False,False,False
2021-10-21 00:00:00+01:00,1.165243148803711,1.1669973134994507,1.1633182764053345,1.1655012369155884,0,0.0,0.0,-0.002923584490939213,-0.004129127509392707,0.0012055430184534938,0.0050898705210004535,False,False,False,False
